,count,title,poster,release_date,over_view
53,53,콜,/t/p/w94_and_h141_bestv2/lzb4SwMTwNZPaifi0qDc9U0imzG.jpg,"3월 19, 2021",전화기 너머 낯선 이들의 목소리가 들려온다. 전화상의 대화로 전개되는 획기적인 연출의 시리즈. 통화 속 주인공들은 세상을 덮친 기괴한 사건들로 인해 걷잡을 수 없는 혼돈에 빠진다
54,54,톨레미 그레이의 마지막 날들,/t/p/w94_and_h141_bestv2/j68fEr92ZsRqvq1J7806bAf4poD.jpg,"3월 11, 2022","자신을 돌봐 주던 믿음직한 사람이 갑자기 떠나고, 톨레미 그레이는 십 대 고아인 로빈에게 맡겨진다. 그들은 톨레미의 치매를 치료하고 기억을 되찾아 줄 치료에 관해 알게 되고, 놀라운 진실을 찾는 여정을 시작한다."
55,55,디 에식스 서펀트,/t/p/w94_and_h141_bestv2/lSVygN5ZLmSMycBTe94umdKfTSd.jpg,"5월 13, 2022","런던에 사는 과부, 코라 시본이 신화 속 뱀에 관한 보고를 조사하기 위해 에식스로 떠난다. 코라는 마을 신부와 예기치 않게 유대 관계를 맺지만, 참사가 일어나자, 주민들은 코라가 뱀을 이끌었다고 의심한다. 세라 페리 소설 원작."
56,56,고요한 물,/t/p/w94_and_h141_bestv2/hFvYDuR1lzm8HFMb12NWZ1ZvPEU.jpg,"12월  4, 2020","세 남매 칼, 애디, 마이클의 옆집에는 아주 특별한 이웃이 살고 있다. 바로 지혜로운 판다, 고요한물이다. 고요한물이 우리의 세상과 삶을 새롭게 바라보게 하는 다양한 이야기를 들려준다"
57,57,리틀 보이스,/t/p/w94_and_h141_bestv2/vxzWAyNw7T7r7a6aQdPe2bahMPh.jpg,"7월 10, 2020","뉴욕에서 뮤지션으로서의 꿈을 이루고 싶은 베스 킹. 거듭되는 실패, 연애와 가족 문제에 직면하지만, 끝끝내 꿈을 향해 용기 있게 한 걸음씩 나아간다."
58,58,미스터 코먼,/t/p/w94_and_h141_bestv2/54BAbjnTRUsxqyE8F8exjJ8nwpo.jpg,"8월  6, 2021","행운이 따랐더라면, 다른 선택을 했더라면, 조시 코먼은 성공한 록스타의 삶을 살았을지도 모른다. 현재 그는 아이들을 가르치는 초등학교 교사가 되었고 학생들을 아끼는 마음은 분명하지만, 여전히 행복과 삶의 의미를 찾기 위해 고민한다"
59,59,그가 나에게 말하지 않은 것,/t/p/w94_and_h141_bestv2/8b5re8SfAMQkDPHl8W6hrUJk9OT.jpg,"4월 13, 2023",한 여자가 불가사의하게 실종된 남편을 찾기 위해 십 대 의붓딸과 돈독한 관계를 형성해야 한다.
60,60,소녀 탐정 해리엇,/t/p/w94_and_h141_bestv2/wa1rgNy8HJueMDTvJ6CkfyHlv5P.jpg,"11월 18, 2021","거침없고 끊임없는 호기심 덩어리. 그게 바로 11살의 해리엇이다. 하지만 미래의 작가, 해리엇 M. 웰시가 되려면 모든 것을 알아야 하고 그러려면 모두를 철저히 지켜봐야 한다"
61,61,돈벼락,/t/p/w94_and_h141_bestv2/jf9EyK7KgHIAzpOEVujAFScUkcW.jpg,"6월 23, 2022","결혼 20년 후, 남편과 이혼하며 받은 합의금 870억 달러로 뭘 할지 결정해야 하는 몰리 노백은 자신의 자선 단체 일에 다시 집중하며 진짜 세상으로 나아가기로 하고, 그렇게 자신을 찾아가는 몰리 노백의 성장기."
62,62,자연에 깃든 밤의 색깔,/t/p/w94_and_h141_bestv2/lZSsVWbsf1ECPZfENCwmitZJmJU.jpg,"12월  4, 2020",동물들의 어둠 속 생활을 최첨단 카메라 기술로 생생하게 포착한 다큐멘터리 시리즈. 이제껏 보지 못한 동물들의 신비로운 밤의 세계가 펼쳐진다. 톰 히들스턴이 영어 내레이션을 맡았다
63,63,리틀 아메리카,/t/p/w94_and_h141_bestv2/8lAMdxL8uirqyavsD6H3QGQmTkA.jpg,"1월 17, 2020",'빅 식'과 '마스터 오브 제로'의 제작진이 만든 시리즈. 미국 이민자들의 이야기 속에 재미와 감동을 담았다.
64,64,프레즐 가족,/t/p/w94_and_h141_bestv2/7LVYadJOXPpbYzXNKUMIfzNZDsn.jpg,"2월 11, 2022","한창 뛰어놀고 싶어 하는 다섯 마리의 강아지를 뒤에서 받쳐주는 세계에서 가장 긴 닥스훈트이자 장난기 많은 아빠 프레첼을 만나보세요. 아내 그레타와 함께, 그들은 강아지들이 문제를 해결하기 위해 발을 들고 세상에 '목소리를 높일' 수 있도록 격려합니다."
65,65,오리와 거위,/t/p/w94_and_h141_bestv2/r8hYMspbGJd2RPfop3VHAwQjk6x.jpg,"7월  7, 2022","두 깃털 친구 오리랑 거위는 서로 많이 다르지만, 이 유아용 프로그램에서 두 친구는 서로의 가장 큰 장점을 끌어내는 방법을 배운다. 태드 힐스의 동화책이 원작."
66,66,롱 웨이 업,/t/p/w94_and_h141_bestv2/54abZr85RxwJxutOfKMaFwZ7xfh.jpg,"9월 18, 2020",이완 맥그리거와 찰리 부어먼이 함께한 세 번째 모터사이클 여정. 이번 시리즈를 위해 특별 제작된 할리데이비슨 전기 바이크를 타고 남미에서 중미를 횡단한다
67,67,호기심쟁이 꼬마 닭,/t/p/w94_and_h141_bestv2/8TIbdhJgyqmnaGkOs6CoDvz4UL3.jpg,"11월 17, 2022","호기심쟁이 꼬마 닭, 꿈나무 작가 파이퍼. 상상력으로 이야기를 다시 쓰고, 이야기 속으로 직접 들어가서 잊지 못할 모험을 경험한다. 원작, 데이비드 에즈라 스테인의 그림 동화책."
68,68,몬스터 팩토리,/t/p/w94_and_h141_bestv2/9ItIeunWE9ryGtIGYmBTUzNd11c.jpg,"3월 16, 2023","스판덱스 옷을 껴입은 부적응자들이 갑갑한 일상을 벗어나 프로 레슬링 선수라는 꿈을 좇는, 세계적으로 유명한 몬스터 팩토리에 오신 걸 환영합니다."
69,69,비저블: 아웃 온 텔레비전,/t/p/w94_and_h141_bestv2/xJocd94qiar0XGWUZdV6ncsoOOF.jpg,"2월 14, 2020","TV를 통해 미국 성소수자 인권 운동의 역사를 살펴보는 5부작 다큐멘터리 시리즈. 동성애 혐오증부터 성소수자 캐릭터의 발전사, 커밍 아웃과 관련한 아카이브 영상 및 새로운 인터뷰 영상을 확인할 수 있다"
70,70,유진 레비: 여행 혐오자의 일탈 여행,/t/p/w94_and_h141_bestv2/zgXtwJtkzIpuXLfDOQaTMU9ZFaS.jpg,"2월 24, 2023",여행을 혐오하는 유진 레비가 더 이상 편안함에 안주하지 않고 세계에서 가장 아름답고 흥미로운 관광지들을 종횡무진 여행한다.
71,71,작은 트랙터 오티스와 달려보자!,/t/p/w94_and_h141_bestv2/m5irEebuRQgSmZCAiq8a364vofn.jpg,"10월  8, 2021",작은 트랙터 오티스와 그의 친구들의 이야기를 다룬 어린이를 위한 애니메이션 영상물
72,72,나우 앤 덴,/t/p/w94_and_h141_bestv2/fHALcHwGYDXMDIFsr88NeLYUfIG.jpg,"5월 20, 2022","대학 졸업 전날, 친한 친구 6명은 졸업을 축하하기 위해 주말여행에 나서지만, 가혹한 운명과 마주하게 된다. 거의 20년이 지나 생존자들은, 그 운명의 밤에 관한 진실을 폭로하겠다는 협박 문자를 받고 마지못해 재회한다."
73,73,불가사의한 마을의 아이들,/t/p/w94_and_h141_bestv2/gmvaWodMFeFx4eIeb6AH6dTcWO1.jpg,"11월 10, 2022","이 SF 앤솔러지 시리즈에서, 가까운 미래에 사는 호기심 많은 학생들이 기이한 사건들을 경험하며 위기에 빠진다."
74,74,슈퍼 리그: 축구 전쟁,/t/p/w94_and_h141_bestv2/d8HIv69R76QVCNy3wIL1etDwI0W.jpg,"1월 12, 2023","총 4편의 에피소드로 구성된 '슈퍼 리그: 축구 전쟁'은 유럽 축구 리그의 분열로부터 시작된 아슬아슬한 논쟁을 기록하고 있으며, 축구계의 강력한 지도자들이 스포츠 전통을 지켜내거나 뒤집는 과정과 더불어 유럽 축구의 과거와 현재, 그리고 미래가 충돌하는 이야기를 그린다."
75,75,메이크 오어 브레이크: 파도를 지배하는 자,/t/p/w94_and_h141_bestv2/whzDZvEzCpISW3PYRUqY9VaoHoD.jpg,"4월 29, 2022",세계 우승을 노리며 경쟁하기 위해 세계를 다니는 프로 서퍼들의 세계를 조명한다. 이 다큐멘터리 시리즈는 처음으로 서퍼들의 삶 깊이 함께하며 그들의 투어 생활과 최고가 되기 위한 그들의 희생을 담는다.
76,76,엘 데포,/t/p/w94_and_h141_bestv2/mnAvS2wiDGoZyd3oytsxsuQ9yU7.jpg,"1월  7, 2022","학교에 가고 새 친구를 사귀는 건 어려운 일이다. 그런데 가슴에 큼지막한 보청기까지 차고 있다면? 초능력 정도는 있어야 이 모든 일을 해낼 수 있다! 시시는 상상 속 자신의 분신인 슈퍼히어로, 엘 데포의 도움으로 자기가 남들과 다르다는 사실을 마음으로 받아들이게 된다."
77,77,호기심 많은 로봇 더그의 모험,/t/p/w94_and_h141_bestv2/iIDiGOoeupsWvPDbi6qfikgjngm.jpg,"11월 13, 2020","세상에는 직접 보고 느껴야 할 것들이 많다고 생각하는 어린 로봇 더그. 다른 로봇 친구들이 매일 플러그를 꽂아 정보를 다운로드하는 동안, 더그는 엠마와 함께 사람들이 사는 세상으로 모험을 떠난다."
78,78,집,/t/p/w94_and_h141_bestv2/r0WaKQ0lwnp8vHpWmQa2YhEXDjs.jpg,"4월 17, 2020","세계에서 가장 창의적인 집들에 대한 특별한 이야기를 소개하는 다큐멘터리 시리즈. 집에 대한 기존의 생각을 깨고, 삶을 살아가는 새로운 방식을 제시하는 세계 각지의 선구자들을 만난다."
79,79,서프사이드 걸스,/t/p/w94_and_h141_bestv2/4UsNYs4BiEy3hQd76fCmAOYIZ97.jpg,"8월 18, 2022","조용한 해안가 마을, 서프사이드에 사는 절친 샘과 제이드는 위험하고 초자연적인 미스터리와 마주하게 된다. 베스트셀러 청소년 만화 소설 원작."
80,80,세이고 미니 프렌즈,/t/p/w94_and_h141_bestv2/hOuKjiWsbREacYJcwjpLxoGzRcR.jpg,"9월 15, 2022","놀기 좋아하는 하비가 엉뚱한 즐거움을 찾아 헤매는 세이고빌로 초대합니다. 하비와 하비의 친구들은 기발한 모험을 통해 탐험하고, 상상의 나래를 펼치며 크고 작은 일에서 얻은 감사함을 신나는 노래로 들려준다."
81,81,헬프스터즈,/t/p/w94_and_h141_bestv2/zqFCwSsAhxMx2LXwKcO4IO9V1Z4.jpg,"11월  1, 2019",정보 없음
82,82,더 롱 게임: 농구 코트와 그 너머의 삶,/t/p/w94_and_h141_bestv2/e8lYoocv5idgseopWOvp54qX7ta.jpg,"4월 22, 2022",드래프트로 향하던 5성급 NBA 유망주 마쿠르 메이커는 예상치 못했던 우회로 하워드 대학교에 가게 된다. 이 감격적인 다큐시리즈는 마쿠르의 여정에 함께하며 가족의 도움을 받아 자신의 서사를 새로 쓰겠다는 그의 투지를 보여 준다.
83,83,늑대소년과 만물 공장,/t/p/w94_and_h141_bestv2/gdEXA8G4Bynu4vCzMkqwudGglMe.jpg,"9월 23, 2021",William Wolfe는 평범한 인간 소년이 아니다. 만물공장의 마법의 스프라이트 영역에 있는 그는 늑대소년이다. 그리고 그는 생생한 상상력과 무한한 창의력이 세상을 변화시키는 힘을 가지고 있다는 것을 알게 된다.
84,84,힘차게 한 걸음 앞으로!,/t/p/w94_and_h141_bestv2/wSeHyfrR9zM9kmNKKAtCO8ddsZN.jpg,"7월 21, 2022","조시 두빈은 홈스쿨에서 공립 학교로 옮기게 돼 기대가 크다. 학교에서 유일하게 의족을 찼지만 그 정도 문제는 이겨낼 자신이 있다. 학교에서 자신의 자리를 찾아가는 동안, 친구들과 가족이 항상 곁을 지켜 준다."
85,85,비커밍 유,/t/p/w94_and_h141_bestv2/nvCUHxvT9oicLGlTJIgBzNjb78G.jpg,"11월 13, 2020","태어난 후 5세까지 아이의 성장 과정을 담은 다큐멘터리 시리즈. 전 세계 100여 명의 아이들의 시선을 통해 언어와 사고, 행동, 감정의 발달 과정을 살펴본다. 올리비아 콜맨 내레이션"
86,86,파인콘 & 포니,/t/p/w94_and_h141_bestv2/98qW6e6rKVG8doUkuezYOpkd8eJ.jpg,"4월  8, 2022","케이트 비턴의 인기 동화책이 애니메이션 시리즈로 탄생합니다. 전사 훈련생으로서, 파인콘은 도전을 두려워하지 않습니다. 다행히, 파인콘이 너무 힘든 상황에 빠지지 않도록 포니가 언제나 곁을 지킵니다. 둘은 함께, 삶이 신나는 일들로 가득 찬 모험이란 걸 배워 나갑니다."
87,87,프래글 록: 화려한 귀환,/t/p/w94_and_h141_bestv2/3pZAfovtsHHX13CzipUOE0gkR76.jpg,"1월 20, 2022","짐 헨슨의 재미 가득한 프래글 뮤지컬이 돌아왔다! 고보, 레드, 웸블리, 모키, 부버, 그리고 새로운 프래글 친구들과 우리와 서로 연결된 세상에 관심을 갖고 신나게 놀 때 펼쳐지는 마법에 관한 흥미롭고 굉장한 모험을 함께할 수 있다."
88,88,그레이트니스 코드,/t/p/w94_and_h141_bestv2/omOzNLdvuKbGZMITjAh59LkGgIY.jpg,"7월  9, 2020",7명의 스포츠계 전설들이 각자 영광의 순간에 대해 이야기한다. 다양한 시각 효과와 라이브 액션을 활용해 연출한 단편 다큐멘터리 시리즈. 스포츠 스타들의 새로운 모습을 만나보자
