,Unnamed: 0,title,poster,release_date,over_view
34,34,업로드,/t/p/w94_and_h141_bestv2/jVtYbiDDQljYv1uAagXfNjKe9pF.jpg,"4월 30, 2020","2033년, 인간은 자신이 선택한 가상 디지털 방식의 사후세계로 스스로를 ""업로드""할 수 있다. 컴퓨터 프로그래머인 네이선이 자율주행차 사고로 젊은 나이에 죽게 되자, 그는 매우 비싼 돈을 내야하는 가상의 디지털 사후세계인 ""레이크 뷰""에 업로드되지만, 곧 소유욕이 강하고 아직 살아 있는 여자친구 잉그리드의 손아귀에 넘어가게 된다. 네이선은 디지털 사후세계인 ""레이크 뷰""의 장단점에 적응하면서, 그의 살아있는 고객 서비스 담당자인 노라와 유대감을 형성하게 된다. 노라는 직업의 압박감, 업로드되고 싶지 않은 그녀의 아버지, 네이선에 대한 커져가는 감정과 함께 네이선이 살해당했다고 서서히 믿게 된다."
35,35,더 보이즈: 디아볼리컬,/t/p/w94_and_h141_bestv2/kZKfZWwFOAicgoKS2IO7oM1GuHZ.jpg,"3월  3, 2022","'디아볼리컬'과 함께 이전에 보지 못했던 '더 보이즈' 세계관에 깊이 빠져본다. 어째서인지 아직도 업계에 남아 있는, 기묘하고 뒤틀리고 광적인 연예인들이 새롭게 창작한 8부작 애니메이션 앤솔러지 시리즈."
36,36,멋진 징조들,/t/p/w94_and_h141_bestv2/hzEzugrfagYisxQXemGEuI4zcQA.jpg,"5월 31, 2019","태초부터 존재해왔지만 이미 인간 세상에 물든 천사 아지라파엘과 악마 크롤리는 음악도 못 듣고 맛있는 음식도 먹을 수 없는 종말 후 천국이 오는 것을 부정한다. 이에, 둘은 비밀리에 협정을 맺고 종말이 오지 않도록 훼방을 놓으려 한다."
37,37,골리앗,/t/p/w94_and_h141_bestv2/b7ygC3GRaq4xc0nkWdGnydtMfvD.jpg,"10월 13, 2016",빌리 맥브라이드는 젊었을 적 큰 거대 로펌까지 세웠을 정도로 유명하고 잘 나가던 변호사였으나 현재는 알코올 중독에 건망증까지 심해져버린 퇴물 변호사가 되어버렸다.  본인이 세운 쿠퍼맨 & 맥브라이드는 엄청난 거대 로펌이고 그곳에는 이혼한 본처가 아직 다니고 있다. 딸에게는 법원에서보다 바에서 더 많은 시간을 보내는 못난 아빠로 전처에게는 무능하고 타락한 일명 피해자들에게 소송을 유도해 돈을 버는 '앰뷸런스 체이서'로 낙인 찍혀버린 상태.  어느 날 그에게 쿠퍼맨 & 맥브라이드를 상대로 한 소송이 들어오는데.... 거대 로펌과 대항하는 소송이기 이전에 엄청난 음모와 살인 사건이 있음을 짐작한 주인공 빌리 맥브라이드.  과연 그가 명망 높았던 변호사로서 다시 활약할 수 있을까?
38,38,스니키 피트,/t/p/w94_and_h141_bestv2/5dU7taWEgoH1RnmBqyUKmcD4ig4.jpg,"8월  7, 2015",교도소에서 막 출소한 전직 사기꾼인 주인공이 감방 동료의 이름을 빌려 자신의 사기 기술을 활용해 자신보다 더 악한 이들을 잡아들이는 이야기
39,39,La que se avecina,/t/p/w94_and_h141_bestv2/hNx5WGPA5VwWx0MtF4kgSej64TX.jpg,"4월 22, 2007",정보 없음
40,40,시타델,/t/p/w94_and_h141_bestv2/xSmaD5pIg7PVWDnUCa0N9fz9b74.jpg,"4월 27, 2023","8년 전, 독립적인 국제 첩보국은 새로운 연합체인 맨티코어에 의해 파괴된다. 엘리트 요원인 메이슨 케인과 나디아 싱은 겨우 목숨을 건지지만, 이들의 기억은 지워진다. 8년 후, 메이슨의 전 동료인 버나드 올릭은 메이슨을 찾아와 맨티코어가 새로운 세계 질서를 수립하는 것을 도와달라고 한다."
41,41,해나,/t/p/w94_and_h141_bestv2/osUjcyKU50vvxUl2qq5CHP1hBZ2.jpg,"3월 28, 2019",단순하지만 독특한 콘셉트의 스릴러이자 주인공의 정신적 성장을 다룬 드라마 ‘해나’는 숲에서 자란 특별한 여자아이가 주인공이다. 해나는 CIA 요원의 끊임없는 추격을 피하며 자신이 누구인지 진실을 파헤치기 시작한다.
42,42,마블러스 미세스 메이슬,/t/p/w94_and_h141_bestv2/zS7fQiOZiKCVH2vlYSiIsFWW8hh.jpg,"3월 16, 2017","1958년 뉴욕, 어퍼 웨스트 사이드 고급 아파트에 사는 미지 메이슬의 인생은 남편과 아이들, 우아한 속죄일 기념 식사에 이르기까지 모든 것을 갖춘 듯 했다. 그러나 한 순간에 일어난 변화는 그녀를 평범한 가정주부에서 스탠드업 코미디언으로의 변신하게 만들었고, 그것이 주변의 모든 사람들에게 큰 충격으로 다가왔다."
43,43,루덴 - 레페르반의 왕들,/t/p/w94_and_h141_bestv2/kw5UkrJQIC5X2UPJfzcFBFW2Z66.jpg,"3월  3, 2023","실화를 바탕으로 한 폭력배에 관한 서사시 '루덴'은 1980년대 함부르크의 전설적인 레페르반의 포주 카르텔 누텔라 갱의 흥망성쇠를 이야기한다. 독특한 카르텔이 상파울리의 거친 홍등가를 화려한 곳으로 탈바꿈하지만, 이는 이미 자리 잡은 GMBH 포주들과 벌이는 권력 싸움의 시작이기도 하다."
44,44,클락슨 농장,/t/p/w94_and_h141_bestv2/yKc3FqwD2eanWBUwqcRH7bChE3V.jpg,"6월 11, 2021","영국에서 농부와는 가장 거리가 먼 제러미 클락슨과 강렬하고 고되지만 종종 큰 웃음을 주는 1년을 함께한다. 도움이 안 되는 날씨, 말 안 듣는 동물, 반응 없는 작물과 뜻밖의 팬데믹까지 상대해야 하는 제러미와 오합지졸 농부 군단. 지금까지 본 적 없는 제러미 클락슨을 만난다."
45,45,저스트 애드 매직,/t/p/w94_and_h141_bestv2/2RG9qsAs5WQtHOKkkb4REMQivq2.jpg,"1월 15, 2015","켈리와 그녀의 가장 친한 친구 두 명은 우연히 신비로운 요리책을 발견한다. 이들은 책의 요리법이 평범한 요리법이 아닌, 마법 요리법임을 알게 된다. 이들은 켈리 할머니를 강력한 저주로부터 구하기 위해 요리법을 사용하던 중, 할머니를 둘러싼 더 많은 단서들을 발견하게 되고, 각각의 조리법에는 대가가 따른다는 것을 알게 된다. 더 많은 비밀들이 저스트 애드 매직을 통해 드러난다."
