,id,title,genre_ids,vote_average,vote_count,poster_path
63,580489,Venom: Let There Be Carnage,"['Science Fiction', 'Action', 'Adventure']",7.0,7797,/t/p/w94_and_h141_bestv2/1Lh9LER4xRQ3INFFi2dfS2hpRwv.jpg
64,982543,V for Vengeance,"['Horror', 'Action']",6.7,39,/t/p/w94_and_h141_bestv2/jLtP8TLycVzLUlkkhp8PipXfUh6.jpg
65,800345,Carter,"['Action', 'Thriller']",6.2,125,/t/p/w94_and_h141_bestv2/ugPqPRSfa6RmraIej6lp7yoeEUK.jpg
66,829557,365 Days: This Day,"['Romance', 'Drama']",5.9,704,/t/p/w94_and_h141_bestv2/7qU0SOVcQ8BTJLodcAlulUAG16C.jpg
67,346910,The Predator,"['Science Fiction', 'Action', 'Adventure', 'Horror']",5.6,3853,/t/p/w94_and_h141_bestv2/6WE2H8wNNtf0ktUoAaUcET3qi7U.jpg
68,406759,Moonfall,"['Science Fiction', 'Adventure', 'Action']",6.4,1670,/t/p/w94_and_h141_bestv2/2xmJCxrt5t2dFhvwvmxZ5Cy577j.jpg
69,764835,The Desperate Hour,['Thriller'],6.2,211,/t/p/w94_and_h141_bestv2/nowGRB6389FFRoGEhq4wsu1GOit.jpg
70,887357,Green Lantern: Beware My Power,"['Animation', 'Action', 'Science Fiction']",7.2,76,/t/p/w94_and_h141_bestv2/jU8Y6JXoj163MmOCzrT9C85MRTC.jpg
71,912598,Bubble,"['Animation', 'Adventure', 'Science Fiction']",7.5,212,/t/p/w94_and_h141_bestv2/wcotFurFkNSafIQKWfpm3TXFRY0.jpg
72,960258,Shark Bait,"['Horror', 'Thriller', 'Action']",6.3,108,/t/p/w94_and_h141_bestv2/bVUgMgVozyFScDM3quP412kXrT.jpg
73,628900,The Contractor,"['Action', 'Thriller']",6.5,450,/t/p/w94_and_h141_bestv2/fZid9LbFTZV7NjM0qMwL1mPjhqu.jpg
74,539681,DC League of Super-Pets,"['Animation', 'Action', 'Family', 'Science Fiction', 'Comedy']",7.4,72,/t/p/w94_and_h141_bestv2/4L7hgezinra0QudLN8HPv8c3af1.jpg
75,34851,Predators,"['Science Fiction', 'Action', 'Thriller']",6.2,3290,/t/p/w94_and_h141_bestv2/6OPKWPCXf7veLpK9l4VMtxFVVc2.jpg
76,588228,The Tomorrow War,"['Action', 'Science Fiction', 'Adventure']",8.0,5688,/t/p/w94_and_h141_bestv2/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg
77,869399,The Passenger,['Horror'],6.7,15,/t/p/w94_and_h141_bestv2/on1Z6HROLW7mnTBusjSH2YsbZcK.jpg
78,843241,The Seven Deadly Sins: Cursed by Light,"['Animation', 'Fantasy']",7.9,372,/t/p/w94_and_h141_bestv2/c6LuZgSe1FFbnSPrZWyvh9f4ZEs.jpg
79,299536,Avengers: Infinity War,"['Adventure', 'Action', 'Science Fiction']",8.3,25156,/t/p/w94_and_h141_bestv2/kmP6viwzcEkZeoi1LaVcQemcvZh.jpg
80,566525,Shang-Chi and the Legend of the Ten Rings,"['Action', 'Adventure', 'Fantasy']",7.7,6987,/t/p/w94_and_h141_bestv2/14L4NGrqO4r7gJtVRiSRP5rNsL5.jpg
81,705861,Hustle,"['Drama', 'Comedy']",7.9,1354,/t/p/w94_and_h141_bestv2/n1poyk7esen6tMsahGTuT6DaRy7.jpg
82,615173,The Witch: Part 2. The Other One,"['Action', 'Mystery', 'Thriller']",7.5,40,/t/p/w94_and_h141_bestv2/cah6iIYQBctvCmBjsKGb1NCiygr.jpg
83,765172,Rise of the Teenage Mutant Ninja Turtles: The Movie,"['Animation', 'Action', 'Comedy', 'Fantasy']",7.3,56,/t/p/w94_and_h141_bestv2/rSmTqtb7gICeRwvsEmq0uJxR4XU.jpg
84,825808,See for Me,"['Thriller', 'Drama', 'Crime', 'Mystery', 'Horror']",6.1,95,/t/p/w94_and_h141_bestv2/qk1ZERG6yhwAJqTobmDgw8jRL2C.jpg
85,440,Aliens vs Predator: Requiem,"['Fantasy', 'Action', 'Science Fiction', 'Thriller', 'Horror']",5.1,2259,/t/p/w94_and_h141_bestv2/9Y33q02kU338lxdYJsjurQQ2TqP.jpg
86,774825,The Ice Age Adventures of Buck Wild,"['Animation', 'Comedy', 'Adventure', 'Family']",6.8,1314,/t/p/w94_and_h141_bestv2/iKFpQoNiS2q9AZ3dEPv1zfkmHvs.jpg
87,838330,Not Okay,"['Comedy', 'Drama']",6.7,174,/t/p/w94_and_h141_bestv2/5NfvR5E9h6449k53n9Y8z2Hjm3k.jpg
88,459151,The Boss Baby: Family Business,"['Animation', 'Comedy', 'Adventure', 'Family']",7.5,2015,/t/p/w94_and_h141_bestv2/zGaeo3fNXCcnttUQMgZr1FW0t4V.jpg
89,893297,American Sicario,"['Crime', 'Action']",5.9,71,/t/p/w94_and_h141_bestv2/cGsEYOqYnWnJPA1efTLxUbspKNv.jpg
